2026-06-27 12:37:21,206 - INFO - Event 3241: Saved match details (from officialresult.json) to data/wtt_matches/3241/TTEWSINGLES-----------8FNL000500----------.json
2026-06-27 12:37:21,206 - INFO - Event 3241: Saved match details (from officialresult.json) to data/wtt_matches/3241/TTEWSINGLES-----------8FNL000200----------.json
2026-06-27 12:37:21,206 - INFO - Event 3241: Saved match details (from officialresult.json) to data/wtt_matches/3241/TTEWSINGLES-----------R32-001600----------.json
2026-06-27 12:37:21,206 - INFO - Event 3241: Saved match details (from officialresult.json) to data/wtt_matches/3241/TTEMSINGLES-----------R32-000400----------.json
2026-06-27 12:37:21,207 - INFO - Event 3241: Saved match details (from officialresult.json) to data/wtt_matches/3241/TTEMDOUBLES-----------SFNL000100----------.json
2026-06-27 12:37:21,207 - INFO - Event 3241: Saved match details (from officialresult.json) to data/wtt_matches/3241/TTEWDOUBLES-----------SFNL000100----------.json
2026-06-27 12:37:21,207 - INFO - Event 3241: Saved match details (from officialresult.json) to data/wtt_matches/3241/TTEWDOUBLES-----------SFNL000200----------.json
2026-06-27 12:37:21,207 - INFO - Event 3241: Saved match details (from officialresult.json) to data/wtt_matches/3241/TTEWSINGLES-----------R32-001500----------.json
2026-06-27 12:37:21,207 - INFO - Event 3241: Saved match details (from officialresult.json) to data/wtt_matches/3241/TTEMSINGLES-----------R32-001300----------.json
2026-06-27 12:37:21,208 - INFO - Event 3241: Saved match details (from officialresult.json) to data/wtt_matches/3241/TTEMDOUBLES-----------SFNL000200----------.json
2026-06-27 12:37:21,208 - INFO - Event 3241: Saved match details (from officialresult.json) to data/wtt_matches/3241/TTEMSINGLES-----------R32-001500----------.json
2026-06-27 12:37:21,208 - INFO - Event 3241: Saved match details (from officialresult.json) to data/wtt_matches/3241/TTEWSINGLES-----------R32-000600----------.json
2026-06-27 12:37:21,208 - INFO - Event 3241: Saved match details (from officialresult.json) to data/wtt_matches/3241/TTEMSINGLES-----------R32-000100----------.json
2026-06-27 12:37:21,208 - INFO - Event 3241: Saved match details (from officialresult.json) to data/wtt_matches/3241/TTEMSINGLES-----------R32-000500----------.json
